maturity_T,exact_mean,n_paths,n_replications,elapsed_seconds,ours_mean_of_means,ours_bias_signed,ours_abs_bias,ours_stdev_across_replications,ours_sem_of_bias,ours_abs_bias_in_sems,ours_avg_clamp_trigger_rate,ours_avg_n_paths_absorbed,islah_mean_of_means,islah_bias_signed,islah_abs_bias,islah_stdev_across_replications,islah_sem_of_bias,islah_abs_bias_in_sems,islah_avg_clamp_trigger_rate,islah_avg_n_paths_absorbed
1.0,1.0,100000,50,4.401808499998879,1.0001521720310993,0.00015217203109929578,0.00015217203109929578,0.0007604396419061022,0.00010754240549497494,1.4149956047468755,0.0,74.48,1.000035988052226,3.598805222604362e-05,3.598805222604362e-05,0.000780141122033959,0.00011032861553453887,0.32618964764202446,0.0,442.22
2.0,1.0,100000,50,6.626927249999426,0.9998742468978459,-0.00012575310215412472,0.00012575310215412472,0.0012292816166442177,0.00017384667342341763,0.7233563903051677,0.0,1089.42,1.0006529115126355,0.0006529115126354679,0.0006529115126354679,0.001174039377358331,0.00016603424102202156,3.9323907443216517,0.0,2209.22
3.0,1.0,100000,50,10.076052917000197,0.999612704053809,-0.00038729594619102414,0.00038729594619102414,0.001499069517688344,0.00021200044428549503,1.8268638421788568,0.0,2755.08,1.0011869869882843,0.0011869869882843442,0.0011869869882843442,0.0013962182580777728,0.00019745507966065242,6.011427967942419,0.0,4311.9
4.0,1.0,100000,50,13.349344875001407,1.000161622011832,0.00016162201183189673,0.00016162201183189673,0.001825685293449202,0.0002581908902620965,0.6259787541993828,0.0,4681.96,1.0016891096880327,0.0016891096880327083,0.0016891096880327083,0.001865911779197186,0.0002638797744332372,6.401057798615258,0.0,6573.8
5.0,1.0,100000,50,16.740054292000423,0.9999230931900044,-7.690680999561383e-05,7.690680999561383e-05,0.0017525867361633811,0.00024785319315174506,0.31029178610795055,0.0,6800.04,1.002373970507536,0.0023739705075360718,0.0023739705075360718,0.0019594643818409796,0.0002771101103786526,8.566885215022282,0.0,8923.1
6.0,1.0,100000,50,19.88185825000255,0.9995476309136856,-0.0004523690863144081,0.0004523690863144081,0.001913932641065144,0.00027067094984628836,1.6712879109165741,0.0,9018.24,1.002976530782639,0.002976530782639042,0.002976530782639042,0.001951522524369003,0.0002759869621239223,10.785041292285882,0.0,11291.52
7.0,1.0,100000,50,23.183660250004323,1.000248159218164,0.00024815921816401243,0.00024815921816401243,0.0018699835086543302,0.00026445560393529796,0.9383776122389427,0.0,11227.9,1.0046087994550783,0.004608799455078305,0.004608799455078305,0.0021414993340239043,0.00030285374019895563,15.217905025873602,0.0,13616.54
8.0,1.0,100000,50,26.59961908400146,0.9999084372029453,-9.15627970546895e-05,9.15627970546895e-05,0.002640241231073629,0.0003733864956920963,0.24522257261867994,0.0,13481.48,1.00493246547327,0.004932465473270087,0.004932465473270087,0.002284584825080971,0.0003230890844021274,15.266580368685487,0.0,15951.1
9.0,1.0,100000,50,29.62610924999899,1.000493365241813,0.0004933652418130929,0.0004933652418130929,0.0021462989543006915,0.00030353250900792296,1.625411536397292,0.0,15741.26,1.0051691103425862,0.005169110342586158,0.005169110342586158,0.0025764998688642556,0.0003643721058000331,14.186350327878719,0.0,18219.24
10.0,1.0,100000,50,32.85714437500428,0.9997352307347902,-0.0002647692652097966,0.0002647692652097966,0.003109413355747799,0.0004397374538722574,0.6021076050681627,0.0,17939.76,1.0063243217812041,0.006324321781204123,0.006324321781204123,0.0029419259319562493,0.00041605115524696347,15.200827353670185,0.0,20435.52
