maturity_T,n_paths,n_replications,elapsed_seconds,benchmark_price,benchmark_se,benchmark_method,ours_mean_price,ours_bias_signed,ours_abs_bias,ours_stdev_across_replications,ours_sem_of_bias,ours_abs_bias_in_sems,islah_mean_price,islah_bias_signed,islah_abs_bias,islah_stdev_across_replications,islah_sem_of_bias,islah_abs_bias_in_sems
1.0,100000,50,1.8599114590324461,0.10947172137733169,0.0001856525406523063,self_ref_n500000_dt0.0200,0.10768390792837923,-0.0017878134489524578,0.0017878134489524578,0.0003863404189146066,5.463678601219397e-05,32.7217901974221,0.10991961835076199,0.0004478969734302979,0.0004478969734302979,0.0004504308950145995,6.370054806414984e-05,7.031289165349752
2.0,100000,50,3.7336643330054358,0.15403496838887987,0.000269578446174325,self_ref_n500000_dt0.0200,0.1501648630136798,-0.003870105375200078,0.003870105375200078,0.0005695325034478503,8.054405905882514e-05,48.049544813399045,0.15435881161923334,0.0003238432303534766,0.0003238432303534766,0.000510033296640083,7.212960053702652e-05,4.489741076373176
3.0,100000,50,5.6459307500044815,0.18885013226672726,0.00034246695679066616,self_ref_n500000_dt0.0200,0.18388226995030205,-0.004967862316425209,0.004967862316425209,0.0006720635418431647,9.504413756511016e-05,52.2690030515766,0.18947705234438972,0.0006269200776624628,0.0006269200776624628,0.0007259542783938269,0.00010266543861673235,6.106437435122278
4.0,100000,50,7.5857248330139555,0.21882682053550787,0.0004084954883019922,self_ref_n500000_dt0.0200,0.2129735594945813,-0.005853261040926566,0.005853261040926566,0.0009343445821619368,0.00013213627800232335,44.29715388853051,0.21987630949241332,0.0010494889569054588,0.0010494889569054588,0.0008641238526739953,0.00012220556720216543,8.58789808789384
5.0,100000,50,9.485645416018087,0.2448032519842446,0.000469975002793123,self_ref_n500000_dt0.0200,0.2379855494538784,-0.006817702530366204,0.006817702530366204,0.0008044538755059986,0.00011376695810441806,59.92691238266872,0.2464461317194815,0.0016428797352368851,0.0016428797352368851,0.0009606001729411607,0.000135849379259133,12.093391550233648
6.0,100000,50,11.453961708000861,0.2692303494543727,0.0005286562082492674,self_ref_n500000_dt0.0200,0.26131350102346773,-0.007916848430904955,0.007916848430904955,0.001164436141650944,0.00016467613840401635,48.075261586968736,0.2706146644135139,0.0013843149591412085,0.0013843149591412085,0.001134199356331845,0.00016040001121593296,8.630391909871019
7.0,100000,50,13.331801374966744,0.29206665332682546,0.0005839526451571557,self_ref_n500000_dt0.0200,0.2824511942691974,-0.009615459057628062,0.009615459057628062,0.0013628889193271184,0.00019274159937204217,49.88782436669361,0.29294891663633105,0.0008822633095055821,0.0008822633095055821,0.0013088934120498606,0.00018510548150217087,4.766273274815123
8.0,100000,50,15.252289374999236,0.3115492318750715,0.0006352141877817933,self_ref_n500000_dt0.0200,0.30157422606717044,-0.00997500580790106,0.00997500580790106,0.0015190378013678245,0.0002148243860451785,46.433302994769285,0.31318275156456066,0.0016335196894891602,0.0016335196894891602,0.0013074547655409887,0.00018490202616174012,8.834514815214977
9.0,100000,50,17.051511667028535,0.33036230593864563,0.0006856737058949402,self_ref_n500000_dt0.0200,0.31985530187131217,-0.010507004067333459,0.010507004067333459,0.0015394529376716113,0.00021771152230902957,48.26112993881574,0.3319490746922051,0.0015867687535594532,0.0015867687535594532,0.0015169885646062677,0.00021453458020310778,7.396330941413738
10.0,100000,50,19.056817749980837,0.34672003670085516,0.0007336766019354541,self_ref_n500000_dt0.0200,0.33720665961471746,-0.009513377086137698,0.009513377086137698,0.001516464480833165,0.00021446046356513366,44.359584643201124,0.3499016775996769,0.003181640898821725,0.003181640898821725,0.0017735564066908975,0.000250818752397596,12.685020033024532
